#gene	newname	num_of_conditions_in	conditions
TRAF3.p1	ENSGALT00000018576.5	1	LIGHT_TEL_RIGHT_6H, 
EEA1.p1	ENSGALT00000076937.2	2	LIGHT_TEL_RIGHT_6H, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
COL19A1.p1	ENSGALT00000061315.3	1	LIGHT_TEL_RIGHT_6H, 
ADGRL3.p1	ENSGALT00000057115.2	1	LIGHT_TEL_RIGHT_6H, 
NPEPPS.p1	ENSGALT00000067237.3	1	LIGHT_TEL_RIGHT_6H, 
BRAF.p1	ENSGALT00000103955.1	1	LIGHT_TEL_RIGHT_6H, 
MGARP.p1	ENSGALT00000090939.1	1	LIGHT_TEL_RIGHT_6H, 
KIAA1462.p1	ENSGALT00000104510.1	2	LIGHT_TEL_RIGHT_6H, LIGHT_TEL_LEFT_24H_up, 
CEP164.p1	ENSGALT00000092171.1	1	LIGHT_TEL_RIGHT_6H, 
AKAP6.p1	ENSGALT00000051855.2	3	LIGHT_TEL_RIGHT_6H, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
SPAG17.p1	ENSGALT00000071598.2	1	LIGHT_TEL_RIGHT_6H, 
LZTS2.p1	ENSGALT00000039298.4	1	LIGHT_TEL_LEFT_6H, 
ROBO2.p1	ENSGALT00000073443.2	1	LIGHT_TEL_LEFT_6H, 
ADAMTS18.p1	ENSGALT00000094853.1	1	LIGHT_TEL_LEFT_6H, 
CAMK2D.p1	ENSGALT00000090825.1	1	LIGHT_TEL_LEFT_6H, 
SVIL.p1	ENSGALT00000104275.1	1	LIGHT_TEL_LEFT_6H, 
F13A1.p1	ENSGALT00000099036.1	1	LIGHT_TEL_LEFT_6H, 
	1	LIGHT_RET_LEFT_24H_up, 
ATG16L1.p1	ENSGALT00000059856.2	1	LIGHT_RET_LEFT_24H_up, 
BECN1.p1	ENSGALT00000083880.2	1	LIGHT_RET_LEFT_24H_up, 
MICAL3.p1	ENSGALT00000094832.1	1	LIGHT_RET_LEFT_24H_up, 
PPFIBP1.p1	ENSGALT00000091325.1	1	LIGHT_RET_LEFT_24H_up, 
SREBF1.p1	ENSGALT00000084111.2	1	LIGHT_RET_LEFT_24H_up, 
PKD1.p1	ENSGALT00000080444.2	1	LIGHT_RET_LEFT_24H_up, 
ARHGAP21.p1	ENSGALT00000103986.1	1	LIGHT_RET_RIGHT_24H_up, 
CEP85L.p1	ENSGALT00000024023.6	1	LIGHT_RET_RIGHT_24H_up, 
ITPR2.p1	ENSGALT00000066797.2	1	LIGHT_RET_RIGHT_24H_up, 
SESN3.p1	ENSGALT00000027810.6	1	LIGHT_RET_RIGHT_24H_up, 
PCNT.p1	ENSGALT00000097985.1	1	LIGHT_RET_RIGHT_24H_up, 
VPS33B.p1	ENSGALT00000080045.2	1	LIGHT_RET_RIGHT_24H_up, 
NFYB.p1	ENSGALT00000067128.2	1	LIGHT_RET_RIGHT_24H_up, 
SCAP.p1	ENSGALT00000093336.1	1	LIGHT_RET_RIGHT_24H_up, 
EEA1.p1	ENSGALT00000092765.1	1	LIGHT_RET_RIGHT_24H_up, 
SEC31A.p1	ENSGALT00000097812.1	1	LIGHT_RET_RIGHT_24H_up, 
PUM1.p1	ENSGALT00000103445.1	1	LIGHT_RET_RIGHT_24H_up, 
SPAST.p1	ENSGALT00000084658.2	1	LIGHT_RET_RIGHT_24H_up, 
EP400.p1	ENSGALT00000003682.6	1	LIGHT_RET_RIGHT_24H_up, 
MAP7D3.p1	ENSGALT00000096177.1	1	LIGHT_RET_RIGHT_24H_up, 
CAST.p1	ENSGALT00000060443.2	1	LIGHT_RET_RIGHT_24H_up, 
MEGF10.p1	ENSGALT00000023694.6	1	LIGHT_RET_RIGHT_24H_up, 
TPR.p1	ENSGALT00000053904.2	1	LIGHT_TEL_LEFT_24H_up, 
LIMS1.p1	ENSGALT00000091197.1	1	LIGHT_TEL_LEFT_24H_up, 
COG6.p1	ENSGALT00000027523.6	1	LIGHT_TEL_LEFT_24H_up, 
ARAP3.p1	ENSGALT00000049754.2	1	LIGHT_TEL_LEFT_24H_up, 
KIF26B.p1	ENSGALT00000093800.1	1	LIGHT_TEL_LEFT_24H_up, 
RASAL3.p1	ENSGALT00000072093.2	1	LIGHT_TEL_LEFT_24H_up, 
EXOC6B.p1	ENSGALT00000103583.1	1	LIGHT_TEL_LEFT_24H_up, 
